ACTUAL_DATES,NEW_DATE,BC_1MONTH,BC_2MONTH,BC_3MONTH,BC_4MONTH,BC_5MONTH,BC_6MONTH,BC_7MONTH,BC_8MONTH,BC_9MONTH,BC_10MONTH,BC_11MONTH,BC_1YEAR,BC_2YEAR,BC_3YEAR,BC_4YEAR,BC_5YEAR,BC_6YEAR,BC_7YEAR,BC_8YEAR,BC_9YEAR,BC_10YEAR,BC_15YEAR,BC_20YEAR,BC_25YEAR,BC_30YEAR,BC_30YEARDISPLAY
1/19/2018,1/19/2018,,,-0.53011291,-0.527500552,-0.524235444,-0.520319307,-0.515756139,-0.510551977,-0.504714689,-0.498253768,-0.491180148,-0.483506035,-0.35015309,-0.161449171,0.054259338,0.275480481,0.48839877,0.685392979,0.86315611,1.021092883,1.160148912,1.636783556,1.896138551,2.053727108,2.158953313,2.158953313
1/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/2018,1/22/2018,,,-0.528605502,-0.526302547,-0.523329195,-0.519687763,-0.515382848,-0.510421086,-0.504810942,-0.498562501,-0.491687285,-0.48419808,-0.352208093,-0.163832245,0.052016762,0.273521303,0.486705023,0.683883921,0.861739854,1.019689601,1.15869837,1.634751785,1.893573339,2.050803741,2.155786651,2.155786651
1/23/2018,1/23/2018,,,-0.536258986,-0.533442942,-0.530056914,-0.526095135,-0.521554659,-0.516435088,-0.510738328,-0.504468354,-0.497630994,-0.490233735,-0.362076857,-0.179465671,0.030876882,0.247790332,0.457350367,0.651725039,0.827412605,0.983668428,1.121332193,1.593449935,1.850332301,2.006396042,2.110600106,2.110600106
1/24/2018,1/24/2018,,,-0.529720713,-0.527819793,-0.525176653,-0.521803316,-0.517713153,-0.512920721,-0.507441614,-0.501292324,-0.494490113,-0.487052891,-0.355273141,-0.168075173,0.045456035,0.26424496,0.474958038,0.670251868,0.846900622,1.004266171,1.14319367,1.622316225,1.884693715,2.044411159,2.151097571,2.151097571
1/25/2018,1/25/2018,,,-0.505236036,-0.506540557,-0.50656621,-0.505374407,-0.503024319,-0.499572942,-0.495075162,-0.489583828,-0.483149804,-0.475822044,-0.333632801,-0.130887381,0.093414097,0.316838851,0.527430878,0.719652266,0.891745796,1.044063185,1.178033591,1.639293822,1.892855529,2.047617952,2.151073021,2.151073021
1/26/2018,1/26/2018,,,-0.515436943,-0.515264905,-0.513870696,-0.511313138,-0.507649005,-0.502933077,-0.497218192,-0.490555296,-0.4829935,-0.474580121,-0.322190936,-0.113429709,0.113687299,0.337446048,0.546513152,0.735899294,0.904310462,1.052468232,1.182080775,1.623526898,1.863602573,2.009663123,2.107231205,2.107231205
1/27/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/2018,1/29/2018,,,-0.5079184,-0.507318963,-0.50539111,-0.50220498,-0.497827871,-0.492324335,-0.485756284,-0.478183076,-0.469661612,-0.460246422,-0.294520142,-0.07382146,0.161677138,0.390264792,0.601336612,0.790739874,0.957895902,1.104064116,1.231326024,1.661387353,1.893882862,2.035160371,2.129514943,2.129514943
1/30/2018,1/30/2018,,,-0.509060487,-0.509210132,-0.508036969,-0.505605133,-0.501976594,-0.497211207,-0.491366757,-0.484499001,-0.476661723,-0.467906777,-0.307717041,-0.088025244,0.149736664,0.382283586,0.597827868,0.791508721,0.962406364,1.111673353,1.241413236,1.677630269,1.911969245,2.054069212,2.148929704,2.148929704
1/31/2018,1/31/2018,,,-0.521947751,-0.521767986,-0.520282594,-0.517553926,-0.513642376,-0.50860641,-0.502502596,-0.49538563,-0.487308372,-0.478321878,-0.315843723,-0.094603496,0.143923947,0.376418494,0.591172653,0.783484136,0.952615252,1.099886499,1.227537228,1.65437555,1.882500599,2.02065267,2.112855897,2.112855897
